feature,gain,perm,shap,score,fold
PEOE_VSA11,4594.595388174057,0.0013646518336761504,0.005212554873364271,0.7211989078341013,1
PEOE_VSA12,3359.0428006649017,0.0008156785883360162,0.003679335524421884,0.6451619631336405,1
PEOE_VSA13,1628.5510795116425,0.00021056240364308865,0.0032936838943629604,0.5230420322580646,1
PEOE_VSA14,2285.709060907364,0.006941507227520694,0.014360999478948946,0.8963139769585254,1
PEOE_VSA2,4249.478154420853,0.001784587146254618,0.006010529412527457,0.7811067188940092,1
PEOE_VSA3,1653.5407075881958,0.0005750288933294934,0.0015390229853458946,0.504608861751152,1
PEOE_VSA4,1440.8530657291412,0.0009183545748701893,0.003523215918462461,0.640553534562212,1
PEOE_VSA5,1204.082338809967,0.0013368577483770794,0.0036808413276614165,0.686636470046083,1
PEOE_VSA6,3038.482964038849,0.0030215747251013834,0.009170871957809162,0.8433186267281106,1
PEOE_VSA7,4498.005308389664,0.001158653063203463,0.007662248112404486,0.7442403732718893,1
PEOE_VSA8,6213.941588878632,0.0011769480703910818,0.004866295886301098,0.6958533686635945,1
PEOE_VSA9,7145.37965965271,0.0011197161610298767,0.003997005208881111,0.6751160921658985,1
SMR_VSA1,1640.2065029144287,0.00016504087838861703,0.0010161008149505441,0.37788074654377884,1
SMR_VSA10,6819.910635232925,0.027271361757398478,0.03862676733777919,0.9585262165898618,1
SMR_VSA2,1193.848039150238,0.0011807259972576368,0.00708771038596768,0.741936,1
SMR_VSA3,3777.9056627750397,0.010033989260451608,0.024137761203400967,0.928572138248848,1
SMR_VSA4,1808.5552802085876,8.657716493688516e-05,0.0022135019871571643,0.4308761520737327,1
SMR_VSA5,7692.7570679187775,0.001938933141051835,0.007516124543902045,0.8110608064516129,1
SMR_VSA6,3080.8192212581635,0.0009378460211859285,0.0026053508075200692,0.6036872949308755,1
SMR_VSA7,3294.0987746715546,0.0035243020708904337,0.013038524998793238,0.8709684101382489,1
SMR_VSA9,703.1800837516785,-4.200504430951213e-07,0.0007719557003848321,0.19354882949308755,1
SlogP_VSA1,2535.972889661789,0.00211972209788438,0.009119906549776194,0.8294937235023041,1
