number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
67,0.2328138590399395,2026-07-23 05:06:52.471196,2026-07-23 05:07:28.205263,0 days 00:00:35.734067,0.7051183807246204,0.035591051034132064,4,13.157411696075313,1200,0.23645831040350618,1.0985165810489763,0.9397623139482597,COMPLETE
68,0.20564089155889712,2026-07-23 05:07:28.211645,2026-07-23 05:09:24.164928,0 days 00:01:55.953283,0.8058989136979413,0.04898378979736941,10,11.646181842221695,1500,0.7643484711195689,0.05449909437598385,0.7935617733867026,COMPLETE
69,0.20644601565122084,2026-07-23 05:09:24.171922,2026-07-23 05:11:15.327946,0 days 00:01:51.156024,0.8053506593006321,0.022395678463136916,9,10.542914841105372,1700,0.011873165061313013,0.06539432400134979,0.7308581028138046,COMPLETE
70,0.20667190856832293,2026-07-23 05:11:15.336328,2026-07-23 05:13:29.229356,0 days 00:02:13.893028,0.8200340025797191,0.04070409942664815,10,11.528455755986379,1500,2.6292425034799667,0.09146940312145996,0.7890923796869822,COMPLETE
71,0.20596216269174655,2026-07-23 05:13:29.237202,2026-07-23 05:14:56.457729,0 days 00:01:27.220527,0.7607437585892802,0.047791754227571634,11,12.353492570878444,1000,0.8060177883861006,0.004809521578385744,0.7915523887075986,COMPLETE
72,0.2066392824839995,2026-07-23 05:14:56.464196,2026-07-23 05:16:52.727394,0 days 00:01:56.263198,0.7779571875153726,0.05777362181817905,12,13.835680450504253,1300,0.49410679632152443,0.009329782144637179,0.6833597194299875,COMPLETE
73,0.20732691572445816,2026-07-23 05:16:52.735099,2026-07-23 05:18:23.991932,0 days 00:01:31.256833,0.7203517388763689,0.06905748883882974,11,12.66663940314816,1100,0.9901007637240855,0.0014970749614073812,0.8623410971142534,COMPLETE
74,0.20587794703924,2026-07-23 05:18:23.998640,2026-07-23 05:20:06.183087,0 days 00:01:42.184447,0.8374517173616489,0.05202586204983589,10,15.01023288442715,1500,0.3132895443417647,0.1501879962591826,0.8100342359675042,COMPLETE
75,0.2089750344173697,2026-07-23 05:20:06.189977,2026-07-23 05:21:00.995782,0 days 00:00:54.805805,0.7901580751671164,0.0828009742678832,9,9.537651808996614,800,1.6801433479026378,0.30692367343722154,0.8419677504617512,COMPLETE
76,0.2049613465911757,2026-07-23 05:21:01.002955,2026-07-23 05:23:36.429999,0 days 00:02:35.427044,0.8557476101089724,0.046212145894466705,12,16.45842163501818,1800,0.19378294537574647,0.7113388197471858,0.9131745613134435,COMPLETE
